标题,描述,预估工时（小时）,任务等级,计划开始日期,计划完成日期
掌握开发环境搭建-JDK17/Maven/IDEA配置,搭建JDK 17、IntelliJ IDEA、Maven开发环境，理解各组件作用,1.5,高,2026-02-04,2026-02-04
掌握Java环境配置-变量与HelloWorld,配置Java环境变量，编写第一个HelloWorld程序理解运行机制,1,高,2026-02-04,2026-02-04
熟悉IDEA-Maven仓库与项目创建,配置Maven国内镜像仓库，创建第一个Maven项目理解项目结构,0.5,中,2026-02-04,2026-02-04
掌握Java语法-变量类型与控制流,学习变量声明、数据类型、String操作、条件循环语法,1.5,高,2026-02-05,2026-02-05
理解Java面向对象-类接口与异常,掌握类定义、接口实现、继承机制、异常处理语法,1.5,高,2026-02-05,2026-02-05
掌握Java集合框架-OOP与List/Map/Set,理解面向对象思想，掌握List、Map、Set常用集合,1.5,高,2026-02-06,2026-02-06
实践Java编程-图书管理小项目,编写图书管理系统巩固OOP和集合知识，理解封装思想,1.5,中,2026-02-06,2026-02-06
掌握Spring Boot-项目创建与自动配置,使用Spring Initializr创建项目，理解自动配置原理,1.5,高,2026-02-07,2026-02-07
实践REST API-Controller编写与测试,编写@RestController控制器，测试第一个REST接口,1.5,高,2026-02-07,2026-02-07
掌握JPA实体设计-Entity与Repository,设计User实体，理解@Entity、@Repository、DTO模式,1.5,高,2026-02-24,2026-02-24
实现用户注册-接口与密码加密,实现注册接口，掌握BCrypt密码加密原理和使用,1.5,高,2026-02-24,2026-02-24
理解JWT认证-原理与工具类封装,学习JWT结构，实现JwtUtil工具类掌握token生成验证,1,高,2026-02-25,2026-02-25
实现登录功能-拦截器与Token验证,编写登录接口，配置拦截器实现请求token验证,1,高,2026-02-25,2026-02-25
掌握权限控制-用户信息管理接口,实现权限判断，编写用户信息查询与修改接口,1.5,中,2026-02-26,2026-02-26
掌握接口文档-Swagger注解与文档生成,使用Swagger/Knife4j注解自动生成API文档,1.5,中,2026-02-26,2026-02-26
掌握商品模型设计-Book实体与关系,设计Book实体，理解JPA关系映射和数据库设计,1.5,高,2026-02-27,2026-02-27
掌握Lombok-代码简化注解使用,使用@Data等注解简化Entity类，理解编译期代码生成,1,中,2026-02-27,2026-02-27
理解文件上传-MultipartFile处理,掌握MultipartFile接口，设计图片上传存储方案,1.5,高,2026-02-28,2026-02-28
